Altium Designer Pick and Place Locations
F:\Development\Laptop Entwicklung\Shared\OV Tech GmbH\OV Tech GmbH - Cloud\02_Projects\00_Helios\01_Elektronik\01_Module\03_Keyboard\KB-PCB-R02\Project Outputs for KB-PCB-R02\Pick Place for KB-PCB-R02.txt

========================================================================================================================
File Design Information:

Date:       02.03.24
Time:       09:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator      Comment                             Layer       Footprint                                                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
FD6             FD_1mm                              BottomLayer FD_1mm_Copper_3mm_Expansion                              255.8550     89.0000      180      "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
FD5             FD_1mm                              BottomLayer FD_1mm_Copper_3mm_Expansion                              5.0000       89.0000      180      "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
FD4             FD_1mm                              BottomLayer FD_1mm_Copper_3mm_Expansion                              5.0000       21.0000      180      "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
FD3             FD_1mm                              TopLayer    FD_1mm_Copper_3mm_Expansion                              255.8550     89.0000      0        "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
FD2             FD_1mm                              TopLayer    FD_1mm_Copper_3mm_Expansion                              5.0000       89.0000      0        "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
FD1             FD_1mm                              TopLayer    FD_1mm_Copper_3mm_Expansion                              5.0000       21.0000      0        "Fiducial with 1 mm radius and 3mm soldermask expansion"                                                                  
U1              RP2040                              BottomLayer QFN40P700X700X90_HS-57M                                  122.7670     12.1080      270      "32Bit Microcontroller 30IO 133MHz RP2040"                                                                                
R163            "300R 1%"                           BottomLayer RESC1005X04L                                             138.3756     20.5502      0        "Thick Film Resistors - SMD 300O 1%"                                                                                      
D84             PESD5V5C1UL                         BottomLayer DFN65P100X50-2N                                          114.2500     28.3696      180      "ESD Diode 5.5V working voltage DFN1006-2"                                                                                
TP_3V3          "Testpoint 0.75mm"                  TopLayer    TP_0.75mm                                                108.3000     9.2000       90       "Testpoint 0.75mm"                                                                                                        
LED3            HL-PT-1608H322W-L                   TopLayer    LED_0603                                                 19.6168      46.6340      270      "8000K~12000K 500mcd Yellow Diffused -40?~+85? Positive post White light 130° 70mW 0603 Light Emitting Diodes (LED) ROHS" 
LED47           HL-PT-1608H322W-L                   TopLayer    LED_0603                                                 148.2730     46.6340      270      "8000K~12000K 500mcd Yellow Diffused -40?~+85? Positive post White light 130° 70mW 0603 Light Emitting Diodes (LED) ROHS" 
LED46           HL-PT-1608H322W-L                   TopLayer    LED_0603                                                 199.4930     46.6340      270      "8000K~12000K 500mcd Yellow Diffused -40?~+85? Positive post White light 130° 70mW 0603 Light Emitting Diodes (LED) ROHS" 
TP_W-LED-P_ON   "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                97.8000      3.5000       90       "Testpoint 0.75mm"                                                                                                        
TP_SW           "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                97.8565      8.9874       90       "Testpoint 0.75mm"                                                                                                        
TP_RGB_P        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                78.1995      13.2521      90       "Testpoint 0.75mm"                                                                                                        
TP_RGB_DATA     "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                92.9453      16.8803      90       "Testpoint 0.75mm"                                                                                                        
TP_RGB_CTRL     "Testpoint 0.5mm"                   BottomLayer TP_0.50mm                                                99.0000      11.1000      90       "Testpoint 0.5mm"                                                                                                         
TP_LEDW-CTRL    "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                107.3586     9.3602       90       "Testpoint 0.75mm"                                                                                                        
TP_LED-W_ON     "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                107.4000     18.3000      90       "Testpoint 0.75mm"                                                                                                        
TP_GND_4        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                81.8000      15.4000      0        "Testpoint 0.75mm"                                                                                                        
TP_GND_3        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                130.9105     9.1976       0        "Testpoint 0.75mm"                                                                                                        
TP_GND_2        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                115.8000     7.1000       0        "Testpoint 0.75mm"                                                                                                        
TP_GND_1        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                9.6000       48.6000      0        "Testpoint 0.75mm"                                                                                                        
TP_CAPS_CTRL    "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                103.5000     11.3000      90       "Testpoint 0.75mm"                                                                                                        
TP_12V0         "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                92.6000      14.8000      90       "Testpoint 0.75mm"                                                                                                        
TP_5V0_4        "Testpoint 0.75mm"                  TopLayer    TP_0.75mm                                                98.3512      12.9644      90       "Testpoint 0.75mm"                                                                                                        
TP_5V0_3        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                103.7000     9.6000       90       "Testpoint 0.75mm"                                                                                                        
TP_5V0_2        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                96.4763      2.6769       90       "Testpoint 0.75mm"                                                                                                        
TP_3V3_4        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                108.6000     14.2000      0        "Testpoint 0.75mm"                                                                                                        
TP_3V3_3        "Testpoint 0.75mm"                  TopLayer    TP_0.75mm                                                127.0526     7.6580       180      "Testpoint 0.75mm"                                                                                                        
TP_3V3_2        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                109.8409     14.8184      0        "Testpoint 0.75mm"                                                                                                        
TP_3V3_1        "Testpoint 0.75mm"                  BottomLayer TP_0.75mm                                                117.8000     6.4000       0        "Testpoint 0.75mm"                                                                                                        
R19             "0Ohm 1%"                           TopLayer    RESC1005X04L                                             250.9448     102.4907     270      "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
R18             "0Ohm 1%"                           TopLayer    RESC1005X04L                                             238.3586     30.2181      270      "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
R17             "0Ohm 1%"                           TopLayer    RESC1005X04L                                             181.3077     102.3000     90       "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
R16             "0Ohm 1%"                           TopLayer    RESC1005X04L                                             78.8000      102.4000     90       "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
R15             "0Ohm 1%"                           BottomLayer RESC1005X04L                                             151.4000     1.5000       0        "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
R14             "0Ohm 1%"                           BottomLayer RESC1005X04L                                             91.2795      3.1942       180      "Thick Film Resistors - SMD 0OHM 1%"                                                                                      
