Altium Designer Pick and Place Locations
F:\Development\Laptop Entwicklung\Shared\OV Tech GmbH\OV Tech GmbH - Cloud\02_Projects\00_Helios\01_Elektronik\01_Module\02_Webcam\WCAM-BREAKOUT-PCB-R01\Project Outputs for WCAM-BREAKOUT-PCB\Pick Place for WCAM-BREAKOUT-PCB-R01.txt

========================================================================================================================
File Design Information:

Date:       24.03.24
Time:       13:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                              
TP9        "Testpoint 0.5mm"    TopLayer    TP_0.50mm                               10.0527      19.6750      90       "Testpoint 0.5mm"                                                                                                        
TP8        "Testpoint 0.5mm"    TopLayer    TP_0.50mm                               31.3500      36.5000      90       "Testpoint 0.5mm"                                                                                                        
TP7        "Testpoint 0.5mm"    BottomLayer TP_0.50mm                               21.6500      38.6500      90       "Testpoint 0.5mm"                                                                                                        
TP6        "Testpoint 0.5mm"    BottomLayer TP_0.50mm                               7.6000       10.8000      90       "Testpoint 0.5mm"                                                                                                        
R11        "2.2k 1%"            TopLayer    RESC1005X04L                            28.2000      25.8000      0        "Thick Film Resistors - SMD 2.2k 1%"                                                                                     
R63        "1.5k 1%"            TopLayer    RESC1005X04L                            31.1500      26.9000      180      "Thick Film Resistors - SMD 1.5k 1%"                                                                                     
U8         74HC2G14GW-Q100      BottomLayer TSOP65P210X110-6N                       18.3408      16.1383      270      "Schmitt Trigger Inverter, 1I/P, 125Deg C Rohs Compliant: Yes |Nexperia 74HC2G14GW-Q100"                                 
U7         TCAL9539RTWR         BottomLayer QFN50P400X400X80_HS-25M                 12.0000      15.0500      270      "TCAL9539 Low-Voltage 16-Bit I2C-Bus, SMBus I/O Expander with Interrupt Output,
Reset, and Configuration Registers"     
U6         74HC2G14GW-Q100      BottomLayer TSOP65P210X110-6N                       23.7408      17.5383      0        "Schmitt Trigger Inverter, 1I/P, 125Deg C Rohs Compliant: Yes |Nexperia 74HC2G14GW-Q100"                                 
U5         ECS-2520MV-240-BN-TR TopLayer    Oscillator_ECS-2520MV                   30.3000      28.8000      180      "Crystal Oscillator 2520 miniature SMD package"                                                                          
U4         TLV74028PDQNR        TopLayer    X2SON-DFN                               20.6500      23.4000      270      "LDO voltage regulator 300mA X2SON"                                                                                      
U3         TLV74012PDQNR        TopLayer    X2SON-DFN                               22.1500      23.4000      270      "LDO voltage regulator 300mA X2SON"                                                                                      
U2         TLV74018PDQNR        TopLayer    X2SON-DFN                               23.6500      23.4000      270      "LDO voltage regulator 300mA X2SON"                                                                                      
